"","age","bid","biden","bipoc","ccHumanCaused","ccNatureCaused","collegeGrad","county","drought","drought3","drought4","DurationSec","educ","EEExposure","EEExposureAll","EEFrequency","EEFrequencyAll","EEIntensity","EEIntensityAll","extremeExperienceYN","fires","heatwaves","hurricanes","hurricanesTropStorms","income","male","nonvoter","noReportDrought","noReportFire","noReportHeatwave","noReportHurricaneTropStorm","noReportTornado","PersonalExpImpact_evacuate","PersonalExpImpact_incomelost","PersonalExpImpact_livingquarterdamage","PersonalExpImpact_livingquarterlost","PersonalExpImpact_nearmiss","PersonalExpImpact_other","PersonalExpImpact_sheltering","PersonalExpImpact_smoke","PersonalExpImpact_total","PersonalExpImpactOE","PersonalExpType_drought","PersonalExpType_flood","PersonalExpType_heat","PersonalExpType_hurricane","PersonalExpType_other","PersonalExpType_tornado","PersonalExpType_total","PersonalExpType_wildfire","PersonalExpTypeOE","Registered_Drought","Registered_EventTypeSum","Registered_Extreme","Registered_Extreme_incldHeatwaves","Registered_Heatwave","Registered_Hurricane","Registered_NoReport_Extreme","Registered_Tornado","Registered_Wildfire","Reported_Drought","Reported_Extreme","Reported_Extreme_exldHeatFlood","Reported_Flood","Reported_Heatwave","Reported_Hurricane","Reported_Other","Reported_Tornado","Reported_Wildfire","ReportedFlood_NoVerified_Extreme","ReportedHeatwave_NoVerified_Extreme","ReportedIntensity_Extreme","state","thirdparty","tornado0","tornado1","tornado2","tornado3","tornado4","tornadoTotal","tropStorms","trump","Verified_Drought","Verified_Extreme","Verified_Extreme_Any","Verified_Heatwave","Verified_Hurricane","Verified_Tornado","Verified_Wildfire","wtp","wtpValue"
"1",3.95,185,1,1,1,0,0,"Orange County",-0.686242728915399,3,0,147,2,11,11,4,4,7,7,1,0,11,0,0,17.5,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,NA,1,0,0,1,0,0,3,1,NA,1,2,1,1,1,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,1.63288492724492,"FL",0,0,0,0,0,0,-0.809391123281774,0,0,1,1,1,0,0,0,0,1,185
"2",4.95,25,0,0,1,0,0,"Miami-Dade County",-0.952073089971179,0,0,298,2,10,10,0,0,10,10,1,0,13,1,1,17.5,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,NA,1,0,0,0,0,0,1,0,NA,0,2,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,2.67541605506949,"FL",0,0,0,0,0,0,-0.809391123281774,0,1,0,0,1,0,0,0,0,1,25
"3",2.1,85,1,1,0,0,1,"San Mateo County",-0.952073089971179,0,0,335,3,NA,0,NA,0,NA,0,0,0,3,0,0,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.799687704345754,"CA",0,0,0,0,0,0,-0.809391123281774,0,0,0,0,0,0,0,0,0,0,85
"4",2.1,165,1,1,1,0,1,"Gwinnett County",0.731519196715431,19,0,373,4,NA,0,NA,0,NA,0,0,0,11,0,0,37.5,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,1,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.799687704345754,"GA",0,0,0,0,0,0,-0.809391123281774,0,0,0,0,0,0,0,0,0,1,165
"5",2.95,105,0,1,1,0,1,"Pierce County",-0.952073089971179,0,0,594,3,NA,0,NA,0,NA,0,0,0,5,0,0,17.5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.799687704345754,"WA",0,0,0,0,0,0,-0.809391123281774,0,0,0,0,0,0,0,0,0,1,105
"6",2.95,125,1,0,1,0,1,"Jefferson County",0.554298956011577,17,0,357,3,NA,0,NA,0,NA,0,0,0,0,0,0,37.5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.799687704345754,"CO",0,0,0,0,0,0,-0.809391123281774,0,0,0,0,0,0,0,0,0,0,125
"7",5.95,5,0,1,0,1,0,"Kings County",-0.952073089971179,0,0,623,2,NA,0,NA,0,NA,0,0,0,0,0,0,17.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.799687704345754,"NY",0,0,0,0,0,0,-0.809391123281774,0,0,0,0,0,0,0,0,0,1,5
"8",3.95,45,1,1,1,0,1,"Jefferson County",0.554298956011577,17,0,876,4,NA,0,NA,0,NA,0,0,0,10,0,0,62.5,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,1,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.799687704345754,"CO",0,0,0,0,0,0,-0.809391123281774,0,0,0,0,0,0,0,0,0,1,45
"9",2.95,45,0,1,0,1,0,"DeKalb County",0.292447247856696,12,2,595,2,NA,0,NA,0,NA,0,0,0,12,0,0,37.5,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,1,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.799687704345754,"GA",0,0,0,0,0,0,-0.809391123281774,0,0,0,0,0,0,0,0,0,1,45
"10",2.1,165,0,1,1,0,0,"Monterey County",4.02691783125864,2,53,645,2,NA,0,NA,0,NA,0,0,4,6,0,0,62.5,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,1,4,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,-0.799687704345754,"CA",0,1,0,0,0,0,2.07068133037738,0,0,0,0,0,0,0,0,0,1,165
